S.No,Model Name,SKU Code,MRP (INR),Dimensions (LxWxH mm),Trap Distance,Flushing Technology,Product URL,Image URL,Warranty,Features & Description
1,Element One Piece Toilet - S 300,522498,24500,690x360x740mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/element-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/522498.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Element One Piece Water Closet brings together contemporary minimalism and efficient performance, crafted for modern urban lifestyles. | | Syphonic Flushing System: Ensures deep, powerful cleaning with every flush for superior hygiene. | Soft-Close Seat: Offers gentle, noise-free closing to enhance daily comfort and longevity. | 3-Star Water Efficiency Rating: Reduces water consumption without compromising performance, promoting sustainable living. | Streamlined One-Piece Form: Designed for easy maintenance and a clutter-free, modern aesthetic."
2,Aster R One Piece Toilet - S 300,525735,23500,625 x 375 x 720 mm,S-300 mm (12 inches),Tornado Flushing,https://hindware.com/p/bath/aster-r-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/525735.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Redefine flushing efficiency and everyday elegance with the Aster R One Piece Toilet. Designed for modern bathrooms, it combines advanced technology with sleek aesthetics for a truly elevated experience. | | Tornado Flushing System: | Delivers a powerful, circular flush that ensures thorough bowl coverage and superior cleanliness with every use. | | Soft-Close Duroplast Seat Cover: | Offers a quiet, controlled closing motion while enhancing durability and comfort with its high-grade Duroplast construction. | | One Piece Compact Design: | Integrates the tank and bowl into a seamless unit, saving space and adding a streamlined look to any bathroom setup. | | Modern Aesthetic: | Designed to complement contemporary spaces with its minimalist form and functional appeal."
3,Aster S One Piece Toilet - S 300,525737,23500,640 x 355 x 770 mm,S-300 mm (12 inches),Tornado Flushing,https://hindware.com/p/bath/aster-s-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/525737.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Redefine flushing efficiency and everyday elegance with the Aster S One Piece Toilet. Designed for modern bathrooms, it combines advanced technology with sleek aesthetics for a truly elevated experience. | | Tornado Flushing System: | Delivers a powerful, circular flush that ensures thorough bowl coverage and superior cleanliness with every use. | | Soft-Close Duroplast Seat Cover: | Offers a quiet, controlled closing motion while enhancing durability and comfort with its high-grade Duroplast construction. | | One Piece Compact Design: | Integrates the tank and bowl into a seamless unit, saving space and adding a streamlined look to any bathroom setup. | | Modern Aesthetic: | Designed to complement contemporary spaces with its minimalist form and functional appeal."
4,Cora One Piece Toilet - S 300 Star White,522584,22990,675x380x770mm,S-300 mm (12 inches),2D Syphonic Flushing,https://hindware.com/p/bath/cora-one-piece-toilet-s-300-star-white,https://hindwarestg.blob.core.windows.net/container1/products/522584.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Cora One Piece Toilet brings understated elegance to modern bathrooms, with a fluid design that complements both minimal and bold interiors. Designed for those who appreciate refined details and functional performance, this toilet delivers more than just style. | | Syphonic Flushing Technology: | Guarantees a powerful and efficient flush that clears waste effectively, while using minimal water, making it both eco-friendly and efficient. | | Vortex Action: | Utilizes a spiraling water flow to cover the entire bowl, ensuring a thorough clean and reducing the need for frequent maintenance. | | Soft-Close Duroplast Seat Cover: | Designed for a smooth, quiet close, this seat cover prevents damage over time and adds an elegant touch to your bathroom. | | Built to Last | : Constructed from premium ceramic, this toilet resists stains and scratches, offering long-term durability."
5,Cora One Piece Toilet - S 300,522402,22990,665x380x780mm,S-300 mm (12 inches),2D Syphonic Flushing,https://hindware.com/p/bath/cora-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/522402.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Make a bold statement in your bathroom with the Cora Matte Black One Piece Toilet. Its seamless design and advanced flushing technology combine to offer both style and performance.​ | | | Syphonic Flushing System | : Ensures a powerful and efficient flush, maintaining cleanliness with minimal water usage. | | Vortex Action | : Delivers thorough bowl coverage, enhancing hygiene and reducing the need for frequent cleaning. | | Duroplast Slim Seat Cover | : Offers exceptional durability and a sleek appearance, complementing the modern design. | | Soft Close Mechanism | : Provides a quiet and gentle closing action, adding a touch of sophistication to your daily routine. | | Matte Black Finish | : Adds a contemporary and elegant touch, making it a standout piece in any bathroom setting."
6,Estella One Piece Toilet - S 300,522500,21200,620x370x720mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/estella-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/522500.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Estella One Piece Closet balances modern aesthetics with functional innovation, making it an ideal choice for contemporary lifestyles. | | Seamless One-Piece Construction: Enhances hygiene and simplifies cleaning with a unified, smooth surface. | Soft-Close Seat Cover: Offers quiet operation and added durability for everyday comfort. | Modern Minimalist Design: Complements a range of interiors while keeping the visual focus clean and uncluttered. | Engineered for Efficiency: Blends thoughtful craftsmanship with reliable performance for daily convenience."
7,Essence Neo One Piece Toilet - S 300,9260131SW,20990,660x385x750mm,S-300 mm (12 inches),2D Syphonic Flushing,https://hindware.com/p/bath/essence-neo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/9260131SW.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Essence Neo S-300 One Piece Closet embodies modern sophistication, seamlessly blending sleek design with advanced functionality. | | Syphonic Flushing System: Delivers powerful and efficient flushing, ensuring thorough cleaning with minimal water usage. | Vortex Action Flushing: Provides comprehensive bowl coverage, enhancing hygiene and reducing the need for frequent cleaning. | Soft-Close Seat Cover: Offers a quiet and gentle closing action, enhancing user comfort and preventing wear and tear. | Seamless One-Piece Design: Combines the cistern and bowl into a single, smooth unit, enhancing aesthetics and simplifying cleaning."
8,Clystra One Piece Toilet - S 300,529354,19990,680 x 370 x 710,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/clystra-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/529354-1778249338116.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Designed to deliver a higher level of hygiene and modern sophistication, the Clystra S-300 one-piece closet combines advanced features with a refined, seamless form to elevate everyday bathroom experiences. Its sleek structure and contemporary styling make it a perfect fit for modern interiors seeking both elegance and performance. | | Equipped with a powerful syphonic flushing system, the S-300 ensures thorough and efficient cleaning with every flush, promoting superior hygiene. The rimless bowl design eliminates hidden corners, making cleaning easier while preventing the accumulation of dirt and bacteria. A durable UF seat cover with soft-close functionality ensures long-lasting performance, offering resistance to scratches and providing a smooth, noise-free closing experience. | | Built from premium ceramic, the S-300 delivers long-term durability and consistent performance, making it an ideal choice for users looking for a combination of advanced hygiene, ease of maintenance, and contemporary design excellence."
9,Agnese Neo One Piece Toilet - S 300,9264131SW,19990,705 x 425 x 745 mm,S-300 mm (12 inches),4D Syphonic Flushing,https://hindware.com/p/bath/agnese-neo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/9264131SW.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Agnese One Piece Toilet seamlessly blends Italian-inspired design with advanced flushing technology, making it a standout choice for modern bathrooms. Its sleek contours and compact form factor not only enhance aesthetic appeal but also optimize space utilization.​ | | Syphonic Flushing: | Ensures powerful and efficient waste removal with minimal water usage. | | Vortex Action: | Delivers a spiraling flush that covers the entire bowl, enhancing cleanliness and reducing the need for frequent cleaning. | | Soft-Close Duroplast Seat Cover: | Provides a quiet and gentle closing mechanism, adding a touch of sophistication and preventing wear and tear. | | Durable Construction: | Crafted from high-quality ceramic, ensuring longevity and resistance to stains and scratches."
10,Dome Neo One Piece Toilet - S 300,528196,19750,670 x 370 x 750 mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/dome-neo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/528196-1778508843081.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Dome One Piece Closet balances modern aesthetics with functional innovation, making it an ideal choice for contemporary lifestyles. | | | Seamless One-Piece Construction: | Enhances hygiene and simplifies cleaning with a unified, smooth surface. | | | Soft-Close Seat Cover: | Offers quiet operation and added durability for everyday comfort. | | | Modern Minimalist Design: | Complements a range of interiors while keeping the visual focus clean and uncluttered. | | | Engineered for Efficiency: | Blends thoughtful craftsmanship with reliable performance for daily convenience."
